"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/26/2024 11:18:31:264 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"271","1","1","0.8","no-visualization","500","300","500","1","3.578","0.26249820899368626","true"
"272","2","1","0.8","no-visualization","500","300","500","1.508","3.636","0.40539523551171347","true"
"273","3","1","0.8","no-visualization","500","300","500","1.666","3.61","0.43125132230379676","true"
"274","4","1","0.8","no-visualization","500","300","500","1.732","3.632","0.44753967080954","true"
"275","5","1","0.8","no-visualization","500","300","500","1.836","3.586","0.4485767112509832","true"
"276","6","1","0.8","no-visualization","500","300","500","1.922","3.654","0.4606453655865333","true"
"277","7","1","0.8","no-visualization","500","300","500","1.948","3.682","0.44752741072033664","true"
"278","8","1","0.8","no-visualization","500","300","500","2.084","3.632","0.45969845999749603","true"
"279","9","1","0.8","no-visualization","500","300","500","2.33","3.7","0.4792759470970633","true"
"280","10","1","0.8","no-visualization","500","300","500","2.332","3.72","0.4722937657468329","true"
"281","1","1","0.9","no-visualization","500","300","500","1","3.482","0.27628480279295126","true"
"282","2","1","0.9","no-visualization","500","300","500","1.484","3.752","0.37128809054274164","true"
"283","3","1","0.9","no-visualization","500","300","500","1.706","3.57","0.43789614021905326","true"
"284","4","1","0.9","no-visualization","500","300","500","1.86","3.644","0.45001786943715444","true"
"286","6","1","0.9","no-visualization","500","300","500","2.076","3.71","0.46936596004536363","true"
"285","5","1","0.9","no-visualization","500","300","500","1.868","3.618","0.48193599966337763","true"
"287","7","1","0.9","no-visualization","500","300","500","2.12","3.792","0.4616578202517105","true"
"288","8","1","0.9","no-visualization","500","300","500","2.19","3.582","0.46960104230803085","true"
"289","9","1","0.9","no-visualization","500","300","500","2.21","3.57","0.4669887987480955","true"
"291","1","1","1","no-visualization","500","300","500","1","3.658","0.34953144326740543","true"
"292","2","1","1","no-visualization","500","300","500","1.46","3.59","0.3826453526697428","true"
